ID	ID_MAXIMO	latitude	longitude	Night_shift	Type_halte	Cleaning_time_20	Cleaning_time_code	Cleaning_time_abri
165	HLT0309	52.10937	4.306603	0	Bushalte	20	20	20
166	HLT0224	52.111317114036	4.29632906024534	0	Bushalte	20	15	20
167	HLT0223	52.1112833139141	4.29589280932128	0	Bushalte	20	15	20
168	HLT0222	52.1106503366313	4.29093739612432	0	Bushalte	20	15	20
169	HLT0220	52.109747	4.288068	0	Bushalte	20	20	13
170	HLT0219	52.109992	4.287317	0	Bushalte	20	20	20
171	HLT0218	52.1121333071707	4.28741505902821	0	Bushalte	20	15	20
172	HLT0217	52.1121945199754	4.28726571567318	0	Bushalte	20	15	20
173	HLT0229	52.112047	4.284011	0	Bushalte	20	20	20
174	HLT0205	52.1120294402802	4.28368444242148	0	Bushalte	20	15	20
175	HLT0726	52.1070809777064	4.28868138576308	0	Bushalte	20	15	20
176	HLT0727	52.1072879836596	4.28913714381468	0	Bushalte	20	15	13
177	HLT0725	52.104617517952	4.28639333811982	0	Bushalte	20	15	20
178	HLT0734	52.1014730771013	4.28310135961231	0	Bushalte	30	20	21
179	HLT0724	52.1040868685722	4.28629427503056	0	Bushalte	20	15	20
180	HLT3201	52.0622454150696	4.25988473489936	0	Bushalte	20	15	20
181	HLT3202	52.0622208895183	4.26084791879404	0	Bushalte	20	15	20
182	HLT1924	52.063676852156	4.25792464337325	0	Bushalte	20	15	20
183	HLT1914	52.0649013007184	4.25332837593685	0	Bushalte	20	15	13
184	HLT1911	52.0650468266869	4.25169263633927	0	Bushalte	20	15	20
185	HLT1907	52.0668517449488	4.24784825566121	0	Bushalte	20	18	20
186	HLT1908	52.0662887519574	4.24806906684069	0	Bushalte	20	18	20
187	HLT1912	52.0641477905831	4.25421544289492	0	Bushalte	20	15	20
188	HLT1913	52.0641480614418	4.25237651264599	0	Bushalte	20	15	20
189	HLT1923	52.0635688982326	4.25696917650807	0	Bushalte	20	15	20
190	HLT3408	52.0554122317093	4.27463851350802	0	Bushalte	20	15	20
191	HLT1107	52.0884045222757	4.2801918694878	0	Bushalte	20	15	13
192	HLT1106	52.0883699908259	4.27946560860845	0	Bushalte	20	15	20
193	HLT1125	52.0875793139329	4.27800489877421	0	Bushalte	20	15	20
194	HLT0930	52.087573	4.277596	0	Bushalte	20	20	20
195	HLT0932	52.086047	4.274044	0	Bushalte	20	20	20
196	HLT0920	52.093615	4.280671	0	Bushalte	20	20	13
197	HLT0919	52.093444	4.280661	0	Bushalte	20	20	13
198	HLT0944	52.090842	4.278274	0	Bushalte	20	20	13
199	HLT0908	52.092659	4.276434	0	Bushalte	20	20	13
200	HLT0912	52.09236	4.276237	0	Bushalte	20	20	13
201	HLT0910	52.0953394429413	4.2779008915119	0	Bushalte	20	15	20
202	HLT0911	52.0954738560172	4.27817729560765	0	Bushalte	20	15	20
203	HLT0905	52.0989761989589	4.28133152309854	0	Bushalte	20	15	20
204	HLT0904	52.0991939850492	4.28151634258156	0	Bushalte	20	15	20
205	HLT0732	52.096457	4.270283	0	Bushalte	20	20	20
206	HLT0730	52.0928095335104	4.26678963953563	0	Bushalte	20	15	13
207	HLT0807	52.090439	4.26229	0	Bushalte	20	20	13
208	HLT0804	52.089753	4.257331	0	Bushalte	20	20	13
209	HLT0803	52.090104	4.258315	0	Bushalte	20	20	20
210	HLT0808	52.0903021773036	4.26232924694836	0	Bushalte	20	15	20
211	HLT0744	52.093232	4.263884	0	Bushalte	20	20	20
212	HLT0731	52.0938865902528	4.26831401662161	0	Bushalte	20	15	20
213	HLT0732	52.096457	4.270283	0	Bushalte	20	20	20
214	HLT0718	52.1009544842491	4.27373983210292	0	Bushalte	20	15	20
215	HLT0719	52.101621233843	4.27497905453913	0	Bushalte	20	15	20
216	HLT1103	52.0872465784974	4.27804922351556	0	Bushalte	20	15	20
217	HLT0515	52.087085	4.301436	0	Bushalte	20	20	20
218	HLT0510	52.090243	4.305635	0	Bushalte	20	20	20
219	HLT0511	52.089765	4.305544	0	Bushalte	20	20	20
220	HLT0516	52.087598	4.302489	0	Bushalte	20	20	13
221	HLT1123	52.0850455566203	4.29225717843593	0	Bushalte	20	15	20
222	HLT1118	52.0852910315099	4.28764956198165	0	Bushalte	20	15	20
223	HLT1112	52.0837158898949	4.27906386319042	0	Bushalte	20	15	20
224	HLT1113	52.0843315815511	4.27959798558544	0	Bushalte	20	15	20
225	HLT1110	52.0820934275228	4.276644447142	0	Bushalte	20	15	20
226	HLT2013	52.0780417480059	4.27645092087172	0	Bushalte	20	15	13
227	HLT2017	52.0755849821451	4.2750865024914	0	Bushalte	20	15	13
228	HLT2021	52.0725871733176	4.27527997395789	0	Bushalte	20	15	13
229	HLT2019	52.0706462933887	4.26939161648067	0	Bushalte	20	15	13
230	HLT1917	52.0689136755134	4.26290266589708	0	Bushalte	20	15	20
231	HLT1916	52.0675020680755	4.25895770076123	0	Bushalte	20	15	20
232	HLT1918	52.0690452467923	4.2634417566283	0	Bushalte	20	15	20
233	HLT2020	52.0706091001204	4.26965993642885	0	Bushalte	20	15	20
234	HLT2022	52.072911299228	4.27553122836856	0	Bushalte	20	15	20
235	HLT2018	52.0763723262955	4.27563188763052	0	Bushalte	20	15	13
236	HLT2012	52.0790645740701	4.27702211647354	0	Bushalte	20	15	20
237	HLT1111	52.0820482331792	4.27705199663484	0	Bushalte	20	15	13
238	HLT1117	52.0852006860692	4.28699681366676	0	Bushalte	20	15	20
239	HLT1124	52.0848907024605	4.29223345216926	0	Bushalte	20	15	13
240	HLT1209	52.0851645503645	4.27311984709792	0	Bushalte	20	15	13
241	HLT1210	52.0851388195567	4.27215595707529	0	Bushalte	20	15	20
242	HLT1207	52.082334695646	4.26528730574358	0	Bushalte	20	15	20
243	HLT1208	52.0820789153493	4.26438726289608	0	Bushalte	20	15	20
