ID_MAXIMO,Route,Order,Name,Dova_code,Night_shift,longitude,latitude,ID,abri,n_in_run,Type_halte
HLS0128,4.0,20.0,Bezuidenhoutseweg 379,NL:Q:42010901,0,4.34088,52.090669,77,1.0,1,Bushalte
HLS0204,4.0,16.0,Bezuidenhoutseweg/Reigersbergenweg,NL:Q:42018501,0,4.350785,52.093965,78,1.0,1,Bushalte
HLS0151,4.0,17.0,Bezuidenhoutseweg 429,NL:Q:42013301,0,4.357855,52.098108,79,1.0,1,Bushalte
HLT2636,7.0,19.0,Theresiastraat 162,NL:Q:32002636,0,4.33575583046536,52.0855605236657,80,1.0,1,Bushalte
HLT2504,4.0,15.0,Vlaskamp 520,NL:Q:32002504,0,4.35070206639716,52.092189557212,81,1.0,1,Bushalte
HLT2502,21.0,12.0,Vlaskamp/Haverkamp,NL:Q:32002502,0,4.34746839776514,52.0909152755171,82,1.0,1,Bushalte
HLT2641,21.0,13.0,De Eerensplein 10,NL:Q:32002641,0,4.344221098045,52.0893228656168,83,0.0,1,Bushalte
HLT2640,21.0,14.0,Theresiastraat 356-312,NL:Q:32002640,0,4.34053603045142,52.0878914018656,84,0.0,1,Bushalte
HLT2635,7.0,18.0,Theresiastraat 162,NL:Q:32002635,0,4.33584919834467,52.085735494864,85,1.0,1,Bushalte
HLT2639,21.0,15.0,Theresiastraat 284,NL:Q:32002639,0,4.3395330165364,52.0872884352986,86,1.0,1,Bushalte
HLT2642,21.0,10.0,De Eerensplein 29,NL:Q:32002642,0,4.34439808585869,52.089182696308,87,1.0,1,Bushalte
HLT2501,21.0,11.0,Vlaskamp/Haverkamp,NL:Q:32002501,0,4.34728061693831,52.0906293138396,88,1.0,1,Bushalte
HLT2503,4.0,14.0,Diamanthorst 43,NL:Q:32002503,0,4.35244085851387,52.0926541492052,89,1.0,1,Bushalte
HLT2506,4.0,13.0,Diamanthorst 187,NL:Q:32002506,0,4.3559562781038,52.0943794596975,90,0.0,1,Bushalte
HLT2505,4.0,12.0,Diamanthorst 187,NL:Q:32002505,0,4.35615315934329,52.0943226209363,91,0.0,1,Bushalte
HLT2507,4.0,11.0,Diamanthorst/Komalijnhorst,NL:Q:32002507,0,4.36013991659398,52.0964923707625,92,0.0,1,Bushalte
HLT2508,4.0,10.0,Diamanthorst/Komalijnhorst,NL:Q:32002508,0,4.36071909051003,52.09652487987,93,1.0,1,Bushalte
HLS0157,21.0,20.0,Prinses Beatrixlaan 3,NL:Q:42014101,0,4.332999,52.081448,94,1.0,1,Bushalte
