ID_MAXIMO,Route,Order,Name,Dova_code,Night_shift,longitude,latitude,ID,Cleaning_time_20,Cleaning_time_code,Cleaning_time_abri
HLT3847,REI-D105,7,Waldorptraat 111,NL:Q:32003847,0,4.3226077914308,52.068526848567,107,50,42,65
HLT2874,REI-D105,8,Kneuterdijk 24,NL:Q:32002874,0,4.30896562829692,52.0813951847169,108,20,15,13
HLT2873,REI-D105,9,Lange voorhout 1A,NL:Q:32002873,0,4.30955207869815,52.0813797306583,109,20,15,20
HLT2857,REI-D105,10,Schedeldoekshaven 60,NL:Q:32002857,0,4.3181708455341,52.0762761181492,110,20,15,13
HLT2858,REI-D105,11,Ammunitiehaven 191,NL:Q:32002858,0,4.320234,52.077117,111,20,20,20
HLT3820,REI-D105,12,de Genesteltlaan 122,NL:Q:32003820,0,4.32176434430744,52.0580731595153,112,20,18,20
HLT3833,REI-D105,13,Jan van Beersstraat 1-23,NL:Q:32003833,0,4.32339259232234,52.0557150313279,113,20,15,20
HLT3834,REI-D105,14,Jan van Beersstraat 1-23,NL:Q:32003834,0,4.32384185127498,52.0557310434146,114,20,15,20
HLT3819,REI-D105,15,de Genesteltlaan 122,NL:Q:32003819,0,4.32137820675742,52.0587886410883,115,20,18,20
HLT3807,REI-D105,16,Slachthuislaan 20,NL:Q:32003807,0,4.31843417672131,52.0611665389729,116,20,15,20
HLT3808,REI-D105,17,Slachthuislaan 25,NL:Q:32003808,0,4.31835416602612,52.0610015648897,117,20,15,20
HLT2633,REI-D106,1,Theresiastraat 34,NL:Q:32002633,0,4.33298454463528,52.0844643197803,118,20,15,20
HLT2634,REI-D106,2,Theresiastraat 34,NL:Q:32002634,0,4.33328306724958,52.0844686259132,119,20,15,20
HLT2631,REI-D106,3,Theresiastraat 2,NL:Q:32002631,0,4.33006987364627,52.0830736144388,120,20,15,20
HLT2632,REI-D106,4,Theresiastraat 12D,NL:Q:32002632,0,4.33092356249137,52.0834327104532,121,20,15,20
HLT2638,REI-D106,5,Laan van Nieuw Oost Indië 121,NL:Q:32002638,0,4.33736218862579,52.0859212517317,122,20,15,13
HLT2650,REI-D106,6,Laan van Nieuw Oost Indië 145,NL:Q:32002650,0,4.33930181540872,52.0842494031283,123,20,15,13
HLS0158,REI-D106,7,Juliana van Stoberglaan 20,NL:Q:42014102,0,4.331895,52.081878,124,20,20,20
HLT0447,REI-D106,8,Oostduinlaan 40,NL:Q:32000447,0,4.315542,52.091529,125,20,20,13
HLT0448,REI-D106,9,Oostduinlaan 40,NL:Q:32000448,0,4.315419,52.091761,126,20,20,13
HLT0436,REI-D106,10,Jan van Nassaustraat 62,NL:Q:32000436,0,4.317533,52.088805,127,20,20,20
HLT0437,REI-D106,11,Jozef Israellaan 37,NL:Q:32000437,0,4.319583,52.089741,128,20,20,13
HLT0427,REI-D106,12,Jozef Israelplein 36,NL:Q:32000427,0,4.3195205259337,52.0921868243557,129,20,15,20
HLT0426,REI-D106,13,Wassenaarseweg,NL:Q:32000426,0,4.31957823867838,52.0924967656612,130,20,15,13
HLT0428,REI-D106,14,Wassenaarseweg 89,NL:Q:32000428,0,4.323095,52.093601,131,20,20,20
HLT0429,REI-D106,15,Wassenaarseweg105,NL:Q:32000429,0,4.324033,52.094068,132,20,20,20
HLT0440,REI-D106,16,Hart Nibbrigkade 6774,NL:Q:32000440,0,4.330286,52.094367,133,20,20,20
HLT0431,REI-D106,17,van Alkemadelaan 220,NL:Q:32000431,0,4.326403,52.096265,134,20,20,13
HLT0416,REI-D106,18,van Alkemadelaan 131,NL:Q:32000416,0,4.32193029175675,52.1001790236594,135,20,15,20
HLT0404,REI-D106,19,van Alkemadelaan 289,NL:Q:32000404,0,4.31796413410107,52.1035931062374,136,20,15,13
HLT0406,REI-D106,20,Waalsdorperweg 189,NL:Q:32000406,0,4.317923,52.104215,137,20,20,20
HLT0405,REI-D106,21,Waalsdorperweg 235,NL:Q:32000405,0,4.319108,52.104729,138,20,20,20
HLT0408,REI-D106,22,Theo Mann Bouwmeesterlaan 1,NL:Q:32000408,0,4.323166,52.105359,139,20,20,13
HLT0409,REI-D106,23,Theo Mann Bouwmeesterlaan 62,NL:Q:32000409,0,4.325369,52.105388,140,20,20,20
HLT0407,REI-D106,24,Else Mauhslaan 2,NL:Q:32000407,0,4.323516,52.105956,141,20,20,20
