ID_MAXIMO,Route,Order,Night_shift,longitude,latitude,ID,Service_time
HLT3335,40,6,1,4.26963416873171,52.041175012033,749,16.0
HLT3336,40,7,1,4.26914690343151,52.041023555465,748,16.0
HLT3331,40,8,1,4.26196712673877,52.0371046139345,752,17.0
HLT3329,40,9,1,4.25799218077801,52.0350047899301,754,16.0
HLT3327,40,10,1,4.25744600027258,52.0348160890285,756,16.0
HLT3328,40,11,1,4.257033,52.034568,755,16.0
HLT3362,40,12,1,4.25167428443517,52.0382394648354,333,15.0
HLT3306,40,13,1,4.24939624277494,52.0423708252707,765,17.0
HLT1712,40,14,1,4.23838392748088,52.050754794459,772,32.0
HLT1602,40,15,1,4.2368439821042,52.0490084966219,769,16.0
HLT1607,40,16,1,4.23628378233782,52.0489009473109,770,16.0
HLT1606,40,17,1,4.23631434823904,52.0488599187006,771,16.0
HLT1601,40,18,1,4.23575296409578,52.0488576045957,768,16.0
HLT1677,40,19,1,4.240459,52.045518,297,15.0
HLT3310,40,20,1,4.25545308741932,52.0460580252304,763,32.0
HLT3401,40,21,1,4.26255660294023,52.0501378329532,759,32.0
HLT3801,41,1,1,4.32774757388169,52.06822467169,931,16.0
HLT2710,41,2,1,4.32539118864927,52.0708566604853,919,16.0
HLT2706,41,3,1,4.32437,52.071887,918,32.0
HLT2706,41,4,1,4.32437,52.071887,927,17.0
HLT2715,41,5,1,4.3233640371818,52.0724853827767,925,17.0
HLT2708,41,6,1,4.3250757524626,52.0731929598394,923,17.0
HLT2707,41,7,1,4.32451133450616,52.0732546151941,924,17.0
HLT2705,41,8,1,4.324626,52.071548,926,16.0
HLT2709,41,9,1,4.32650293078902,52.0695560304559,920,16.0
HLT3802,41,10,1,4.32794628056496,52.0679019649761,932,17.0
HLT3839,41,11,1,4.32147481602882,52.0663730395546,690,32.0
HLT3847,41,12,1,4.3226077914308,52.068526848567,921,15.0
HLT3860,41,13,1,4.31860823810236,52.0669240153178,105,9.0
HLT3810,41,14,1,4.32528575643065,52.0626870123569,693,32.0
HLT3824,41,15,1,4.32693038994864,52.0608564358272,695,30.0
HLT3823,41,16,1,4.32652077388306,52.0614648822821,694,30.0
HLT3809,41,17,1,4.32524265914755,52.0630281963993,692,32.0
HLT3813,41,18,1,4.33027223658478,52.0646290412442,706,17.0
HLT3828,41,19,1,4.33275974011202,52.0619849391485,704,17.0
HLT3333,42,1,1,4.26631248464991,52.0395317235399,751,17.0
HLT3330,42,2,1,4.26093593488453,52.0366695771023,753,17.0
HLT3363,42,3,1,4.25706572185834,52.0317204523385,663,9.0
HLT3364,42,4,1,4.25748128377907,52.0318343850798,662,9.0
HLT3359,42,5,1,4.25429952598057,52.0350887372042,660,15.0
HLT3361,42,6,1,4.25138391005665,52.0382738684478,332,9.0
HLT3358,42,7,1,4.25392120665028,52.0349639608496,661,15.0
HLT3350,42,8,1,4.24553399940945,52.0396574341117,767,32.0
HLT3383,42,9,1,4.247341,52.040893,334,9.0
HLT3305,42,10,1,4.24989225427237,52.0425275307326,766,32.0
HLT3402,42,11,1,4.26202096190482,52.0500446242387,760,32.0
HLT3312,42,12,1,4.25808669773781,52.0478765954369,762,32.0
HLT3309,42,13,1,4.2549644410696,52.0458960211795,764,17.0
HLT3311,42,14,1,4.25857683441811,52.0480386005468,761,32.0
HLT3403,42,15,1,4.26617699594688,52.0529202544227,757,32.0
HLT3404,42,16,1,4.26601278824935,52.0527236326718,758,32.0
HLT3608,42,17,1,4.30040591078417,52.0558002761432,731,16.0
HLT3702,42,18,1,4.30702172293672,52.0593523899421,732,17.0
HLT2934,43,1,1,4.294348900516,52.0696516803254,881,16.0
HLT3008,43,2,1,4.29019221560805,52.0686296663827,819,16.0
HLT3006,43,3,1,4.2894514356678,52.0689202936046,821,16.0
HLT2103,43,4,1,4.27994465741407,52.0756933546766,972,17.0
HLT2003,43,5,1,4.26668548476375,52.0750070655983,825,17.0
HLT1212,43,6,1,4.26414178534703,52.0764444199528,966,17.0
HLT1205,43,7,1,4.26007817401344,52.0804137166609,963,17.0
HLT1302,43,8,1,4.2583029190032,52.0843329164547,961,17.0
HLT0806,43,9,1,4.255624,52.086294,960,16.0
HLT0801,43,10,1,4.252349,52.08771,955,17.0
HLT0802,43,11,1,4.252527,52.088161,957,16.0
HLT0809,43,12,1,4.252376,52.087791,956,15.0
HLT0811,43,13,1,4.25237372954615,52.0877308302979,958,17.0
HLT0805,43,14,1,4.255965,52.0861,959,17.0
HLT1301,43,15,1,4.25747708767903,52.0850836547605,962,16.0
HLT1206,43,16,1,4.26041744342401,52.0802084221086,964,17.0
HLT1211,43,17,1,4.26381920345304,52.0766044367726,965,17.0
HLT2005,43,18,1,4.27092313490338,52.0764702306618,828,17.0
HLT2008,43,19,1,4.27228439332052,52.0764040219867,968,17.0
HLT2015,43,20,1,4.27498,52.076007,969,17.0
