LambdaL,LambdaC,ratio,objective,travelTime,minShiftLength,maxShiftLength,varShiftLength,minCleaning,maxCleaning
0.0045,9.0E-4,0.2,339.2586659586802,36.19199929201361,6.2284404613352065,7.273300296900826,379.86093711826027,4.266666666666667,5.75
0.005,0.005,1.0,342.35412081963875,39.28745415297204,6.167021044018845,7.756492087941666,426.7132288825789,4.083333333333333,6.166666666666667
0.005,0.0025,0.5,342.10259249124607,39.03592582457936,6.157367244894825,7.634602386036859,398.98911592179246,4.05,6.05
0.005,0.0016666666666666666,0.3333333333333333,341.25410694891815,38.187440282251565,5.9130957267306545,7.84971303522065,751.4439313102754,3.5,6.216666666666667
0.005,0.00125,0.25,341.3159949709304,38.249328304263756,6.142474419590561,7.695084224611083,525.3432431891515,3.95,6.216666666666667
0.005,0.001,0.2,341.23252160246653,38.165854935799786,5.751112434035777,7.933640938857314,1150.4008013923115,3.683333333333333,6.333333333333333
0.0055,0.0055,1.0,342.5756646302504,39.508997963583774,5.13878029138091,7.744541653782603,2214.888855999711,3.2333333333333334,6.216666666666667
0.0055,0.00275,0.5,342.8029465091804,39.736279842513724,5.397818426242519,7.869819774790128,1681.292226552658,3.3,6.216666666666667
0.0055,0.001833333333333333,0.3333333333333333,342.16429405108937,39.09762738442274,5.233492745147722,7.933640938857314,1830.3115606085182,3.25,6.333333333333333
0.0055,0.001375,0.25,341.6331644139345,38.56649774726773,5.634808090605478,7.933640938857314,1376.4002246015555,3.3833333333333333,6.333333333333333
0.0055,0.0011,0.2,342.55099313264003,39.48432646597335,5.172173950567265,7.933640938857314,1879.8691903277497,3.25,6.333333333333333
0.006,0.006,1.0,341.39111233688516,38.324445670218516,3.1451205875312644,7.946021997502087,4652.991879508447,1.6,6.266666666666667
0.006,0.003,0.5,342.71168017834714,39.64501351168043,4.940717611033352,7.84971303522065,2013.6686236253313,3.0,6.216666666666667
0.006,0.002,0.3333333333333333,342.50023064786274,39.433563981196116,5.480731129497127,7.870074916833935,1479.2780104328485,3.3666666666666667,6.3
0.006,0.0015,0.25,341.79820810168775,38.73154143502106,5.571259005238277,7.933640938857314,1450.0768131719917,3.5,6.333333333333333
0.006,0.0012000000000000001,0.2,341.94792115643827,38.88125448977158,4.691171400355196,7.933640938857314,2044.3977729200037,3.0,6.333333333333333
0.0065,0.0065,1.0,342.6128144527503,39.5461477860837,3.1451205875312644,7.946021997502087,4529.701009679393,1.6,6.266666666666667
0.0065,0.00325,0.5,342.634295780069,39.56762911340228,4.754533370024399,7.862627079756978,2131.4931378770066,3.0,6.3
0.0065,0.0021666666666666666,0.3333333333333333,343.3361840750093,40.26951740834265,5.564644082016952,7.84971303522065,1537.6626679311064,3.216666666666667,6.216666666666667
0.0065,0.001625,0.25,342.45495241039623,39.38828574372974,5.348480163372432,7.870074916833935,1886.7800658029141,3.35,6.216666666666667
0.0065,0.0013,0.2,342.4454661569669,39.37879949030025,4.665587713986148,7.870074916833935,2235.7478586937164,3.0,6.3
0.007,0.007,1.0,342.70278046125674,39.6361137945901,3.182441283851755,7.936652784245628,4450.3331014655,1.5666666666666667,6.266666666666667
0.007,0.0035,0.5,342.4332396596091,39.366572992942444,3.895717650802856,7.870074916833935,3010.056302116861,2.35,6.3
0.007,0.002333333333333333,0.3333333333333333,343.2925981016739,40.22593143500728,3.895717650802856,7.870074916833935,2998.0842411977924,2.35,6.3
0.007,0.00175,0.25,343.3759172200889,40.3092505534223,3.895717650802856,7.870074916833935,2834.781775764639,2.35,6.3
0.007,0.0014000000000000002,0.2,342.00128096250836,38.9346142958418,3.895717650802856,7.933640938857314,3523.0744493072493,2.35,6.333333333333333
0.0075,0.0075,1.0,342.98335619175225,39.91668952508574,3.182441283851755,7.946021997502087,4319.953959626893,1.5666666666666667,6.266666666666667
0.0075,0.00375,0.5,342.8245429200964,39.757876253429714,3.182441283851755,7.946021997502087,3875.0656782974734,1.5666666666666667,6.3
0.0075,0.0024999999999999996,0.3333333333333333,343.0144461725576,39.94777950589081,3.182441283851755,7.946021997502087,3956.1423014896573,1.5666666666666667,6.3
0.0075,0.001875,0.25,343.3492276865723,40.28256101990556,3.4343494792078824,7.946021997502087,3397.083678660839,1.85,6.3
0.0075,0.0015,0.2,343.2559806484331,40.189313981766496,3.895717650802856,7.946021997502087,3356.301674050021,2.35,6.3
0.008,0.008,1.0,343.4540870034024,40.38742033673582,3.182441283851755,7.936652784245628,4366.03566394375,1.5666666666666667,6.266666666666667
0.008,0.004,0.5,343.6298049407812,40.563138274114536,3.182441283851755,7.946021997502087,4059.1309194112696,1.5666666666666667,6.283333333333333
0.008,0.0026666666666666666,0.3333333333333333,343.0012121626732,39.934545496006585,3.182441283851755,7.946021997502087,4074.599669883801,1.5666666666666667,6.3
0.008,0.002,0.25,343.32406514030714,40.25739847364046,3.182441283851755,7.946021997502087,4326.741393902037,1.5666666666666667,6.3
0.008,0.0016,0.2,344.6176216977532,41.55095503108651,3.182441283851755,7.946021997502087,4005.9778124374384,1.5666666666666667,6.3
0.0085,0.0085,1.0,343.6553798482989,40.588713181632315,3.182441283851755,7.936652784245628,4215.074642073845,1.5666666666666667,6.266666666666667
0.0085,0.00425,0.5,342.61638924014164,39.54972257347489,3.182441283851755,7.946021997502087,4451.627259836402,1.5666666666666667,6.3
0.0085,0.0028333333333333335,0.3333333333333333,343.75283902882086,40.686172362154274,3.182441283851755,7.946021997502087,3981.669179028208,1.5666666666666667,6.283333333333333
0.0085,0.002125,0.25,344.3628152473278,41.29614858066116,3.895717650802856,7.946021997502087,3238.0353481336247,2.35,6.3
0.0085,0.0017000000000000001,0.2,344.3114066433112,41.244739976644524,3.182441283851755,7.946021997502087,4065.6808440624377,1.5666666666666667,6.3
0.009,0.009,1.0,342.760962071992,39.694295405325434,2.09884474768757,7.936652784245628,5485.21550544594,0.9,6.266666666666667
0.009,0.0045,0.5,344.03062660575904,40.96395993909223,3.182441283851755,7.946021997502087,4152.441286278681,1.5666666666666667,6.3
0.009,0.0029999999999999996,0.3333333333333333,343.54392318291985,40.47725651625328,2.37338841384235,7.946021997502087,5196.784296093359,0.4666666666666667,6.266666666666667
0.009,0.00225,0.25,343.9604028425531,40.893736175886445,3.182441283851755,7.946021997502087,4046.811371622012,1.5666666666666667,6.3
0.009,0.0018,0.2,343.44906419649976,40.382397529833014,3.182441283851755,7.946021997502087,4364.728519177082,1.5666666666666667,6.3
0.0095,0.0095,1.0,343.107081222591,40.04041455592437,3.182441283851755,7.936652784245628,4353.2668446675225,1.5666666666666667,6.266666666666667
0.0095,0.00475,0.5,343.3462501586001,40.2795834919336,3.182441283851755,7.946021997502087,4298.10181862839,1.5666666666666667,6.266666666666667
