ID_MAXIMO,Route,Order,Night_shift,longitude,latitude,ID,Cleaning_time_abri
HLT1110,REI-D110,14,0,4.276644447142,52.0820934275228,225,20
HLT2013,REI-D110,15,0,4.27645092087172,52.0780417480059,226,13
HLT2017,REI-D110,16,0,4.2750865024914,52.0755849821451,227,13
HLT2021,REI-D110,17,0,4.27527997395789,52.0725871733176,228,13
HLT2019,REI-D111,1,0,4.26939161648067,52.0706462933887,229,13
HLT1917,REI-D111,2,0,4.26290266589708,52.0689136755134,230,20
HLT1916,REI-D111,3,0,4.25895770076123,52.0675020680755,231,20
HLT1918,REI-D111,4,0,4.2634417566283,52.0690452467923,232,20
HLT2020,REI-D111,5,0,4.26965993642885,52.0706091001204,233,20
HLT2022,REI-D111,6,0,4.27553122836856,52.072911299228,234,20
HLT2018,REI-D111,7,0,4.27563188763052,52.0763723262955,235,13
HLT2012,REI-D111,8,0,4.27702211647354,52.0790645740701,236,20
HLT1111,REI-D111,9,0,4.27705199663484,52.0820482331792,237,13
HLT1117,REI-D111,10,0,4.28699681366676,52.0852006860692,238,20
HLT1124,REI-D111,11,0,4.29223345216926,52.0848907024605,239,13
HLT1209,REI-D111,12,0,4.27311984709792,52.0851645503645,240,13
HLT1210,REI-D111,13,0,4.27215595707529,52.0851388195567,241,20
HLT1207,REI-D111,14,0,4.26528730574358,52.082334695646,242,20
HLT1208,REI-D111,15,0,4.26438726289608,52.0820789153493,243,20
HLT1203,REI-D111,16,0,4.26082125206425,52.080466894061,244,20
HLT1204,REI-D111,17,0,4.25979113764391,52.0801897119236,245,20
HLT1201,REI-D111,18,0,4.254697608956,52.0780749136373,246,20
HLT1202,REI-D111,19,0,4.25525747672709,52.0781925118133,247,20
HLT1308,REI-D111,20,0,4.2494000148956,52.0758939817389,248,13
HLT1307,REI-D112,1,0,4.25140470872696,52.0765455599332,249,20
HLT1306,REI-D112,2,0,4.2465174891641,52.0745400668295,250,20
HLT1305,REI-D112,3,0,4.24535029567165,52.0742207720985,251,13
HLT1508,REI-D112,4,0,4.22357280945134,52.0668077938643,252,13
HLT1506,REI-D112,5,0,4.22275324695712,52.06862350349,253,13
HLT1502,REI-D112,6,0,4.2180835140604,52.066462482348,254,20
HLT1504,REI-D112,7,0,4.22262956598752,52.0687621457293,255,13
HLT1516,REI-D112,8,0,4.22413015587448,52.0655872066853,256,20
HLT1514,REI-D112,9,0,4.22480085871072,52.0662687756448,257,20
HLT1403,REI-D112,10,0,4.23218187382161,52.0681388537322,258,20
HLT1404,REI-D112,11,0,4.23209838799404,52.0683856675575,259,13
HLT1412,REI-D112,12,0,4.23561459026974,52.0670429366823,260,20
