Route,ID_MAXIMO,Order,Name,Dova_code,Night_shift,longitude,latitude,ID
REI-D107,HLT0402,1,van Hogenhoucklaan 142,NL:Q:32000402,0,4.31501964749388,52.1012343283809,146
REI-D107,HLT0401,2,van Hogenhoucklaan 134,NL:Q:32000401,0,4.31490865154569,52.1010789016025,147
REI-D107,HLT0403,3,van Alkemadelaan 674,NL:Q:32000403,0,4.31814917046317,52.1031156242217,148
REI-D107,HLT0413,4,Ruychrocklaan 92,NL:Q:32000413,0,4.315566,52.098441,149
REI-D107,HLT0411,5,Oostduinlaan 95,NL:Q:32000411,0,4.31159347098113,52.0966546050319,150
REI-D107,HLT0418,6,Oostduinlaan/Groenhovenstraat,NL:Q:32000418,0,4.31305610533233,52.0945623928717,151
REI-D107,HLT0417,7,Oostduinlaan 79,NL:Q:32000417,0,4.3128388294109,52.0952006965006,152
REI-D107,HLT0412,8,Ruychrocklaan 26,NL:Q:32000412,0,4.31308300599461,52.0973925733531,153
REI-D107,HLT0414,9,Ruychrocklaan 86,NL:Q:32000414,0,4.315853,52.098641,154
REI-D107,HLT0415,10,van Alkemadelaan 350,NL:Q:32000415,0,4.32156599743908,52.1001717034707,155
REI-D107,HLT0430,11,van Alkemadelaan 84,NL:Q:32000430,0,4.326409,52.096022,156
REI-D107,HLS0363,12,Benoordenhoutseweg,NL:Q:54000680,0,4.329667,52.09216,157
REI-D107,HLT0603,13,Dr. Alleta Jaconsweg Ver-Huëllweg,NL:Q:32000603,0,4.29987278824698,52.0973919192484,158
REI-D107,HLT0604,14,Dr. Alleta Jaconsweg Ver-Huëllweg,NL:Q:32000604,0,4.3000957481723,52.0974605468231,159
REI-D107,HLT0605,15,Bankastraat/Kerkhoflaan,NL:Q:32000605,0,4.30115079503412,52.0946637597382,160
REI-D107,HLT0503,16,Bankastraat 133,NL:Q:32000503,0,4.30207935405249,52.0939709414044,161
REI-D107,HLT0504,17,Bankastraat 100,NL:Q:32000504,0,4.30265277689089,52.0933089689487,162
REI-D107,HLT2401,18,REI-POH Reinigen Abri (unit-230) en Hekwerk (unit-231),NL:Q:32002401,0,4.31645272209252,52.0848837193078,163
REI-D107,HLT2403,19,Koningskade 1,NL:Q:32002403,0,4.31683348723635,52.0848754088929,164
REI-D107,HLT0226,20,Doorniksestraat 29,NL:Q:32000226,0,4.29813714441596,52.1090120342029,165
REI-D107,HLT0225,21,Gentsestraat 179,NL:Q:32000225,0,4.29679152688367,52.1101260213315,166
REI-D107,HLT0310,22,van Alkemadelaan 1120,NL:Q:32000310,0,4.30846406104529,52.108784020229,167
REI-D107,HLT0309,23,van Alkemadelaan/Maurits de Brauwweg,NL:Q:32000309,0,4.306603,52.10937,168
REI-D107,HLT0224,24,Stevinstraat 302,NL:Q:32000224,0,4.29632906024534,52.111317114036,169
REI-D107,HLT0223,25,Stevinstraat 247,NL:Q:32000223,0,4.29589280932128,52.1112833139141,170
REI-D107,HLT0222,26,Stevinstraat 140,NL:Q:32000222,0,4.29093739612432,52.1106503366313,171
REI-D108,HLT0220,1,Badhuisweg 41,NL:Q:32000220,0,4.288068,52.109747,172
