ID_MAXIMO,first_order,n_visits,Route,Order,Name,Dova_code,Night_shift,longitude,latitude,ID,abri,Service_time
HLS0363,24,1,REI-D103,19,Benoordenhoutseweg 227,NL:Q:54000680,0,4.329667,52.09216,69,0,10
HLS0364,23,1,REI-D103,20,Benoordenhoutseweg 254,NL:Q:54000730,0,4.334929,52.094274,70,0,10
HLS0365,21,1,REI-D103,21,Benoordenhoutseweg/Viaduct N14,NL:Q:54140330,0,4.358149,52.105005,71,0,10
HLS0366,19,1,REI-D103,22,Benoordenhoutseweg,NL:Q:54142010,0,4.335599,52.094361,72,0,10
HLS0367,20,1,REI-D103,23,Benoordenhoutseweg/Leidsestraatweg,NL:Q:54142030,0,4.347509,52.09932,73,0,10
HLS0368,22,1,REI-D103,24,Benoordenhoutseweg/Waaldorperlaan,NL:Q:54142040,0,4.346273,52.099103,74,1,20
HLT3903,2,1,REI-D103,25,Brinckhorstlaan 46,NL:Q:32003903,0,4.33330205409404,52.0729117774667,75,0,10
HLT3904,3,1,REI-D103,26,Brinckhorstlaan,NL:Q:32003904,0,4.33434179462147,52.0716611773701,76,0,10
HLT3905,5,1,REI-D103,27,Brinckhorstlaan 125,NL:Q:32003905,0,4.33705246394757,52.0689586013162,77,1,20
HLT3906,4,1,REI-D103,28,Mecuriusweg/Binckhorstlaan,NL:Q:32003906,0,4.3364707744107,52.0701556590412,78,1,20
HLT3912,1,1,REI-D103,29,Brinckhorstlaan 170,NL:Q:32003912,0,4.336626,52.069903,79,0,10
HLS0147,17,1,REI-D104,1,Prinses Beatrixlaan 31,NL:Q:42013101,0,4.337596,52.077642,80,1,20
HLS0148,18,1,REI-D104,2,Prinses Beatrixlaan 800,NL:Q:42013102,0,4.337889,52.077599,81,0,10
HLS0157,15,1,REI-D104,3,Prinses Beatrixlaan 3,NL:Q:42014101,0,4.332999,52.081448,82,1,20
HLS0315,19,1,REI-D104,4,Prinses Beatrixlaan 400,NL:Q:42067701,0,4.334246,52.080542,83,0,10
HLS0316,16,1,REI-D104,5,Prinses Beatrixlaan 15,NL:Q:42067702,0,4.335131,52.079507,84,1,20
HLT2501,9,1,REI-D104,6,Vlaskamp/Haverkamp,NL:Q:32002501,0,4.34728061693831,52.0906293138396,85,1,20
HLT2502,3,1,REI-D104,7,Vlaskamp/Haverkamp,NL:Q:32002502,0,4.34746839776514,52.0909152755171,86,1,20
HLT2503,10,1,REI-D104,8,Diamanthorst 43,NL:Q:32002503,0,4.35244085851387,52.0926541492052,87,1,20
HLT2504,2,1,REI-D104,9,Vlaskamp 520,NL:Q:32002504,0,4.35070206639716,52.092189557212,88,1,20
HLT2505,12,1,REI-D104,10,Diamanthorst 187,NL:Q:32002505,0,4.35615315934329,52.0943226209363,89,0,10
HLT2506,11,1,REI-D104,11,Diamanthorst 187,NL:Q:32002506,0,4.3559562781038,52.0943794596975,90,0,10
HLT2507,13,1,REI-D104,12,Diamanthorst/Komalijnhorst,NL:Q:32002507,0,4.36013991659398,52.0964923707625,91,0,10
HLT2508,14,1,REI-D104,13,Diamanthorst/Komalijnhorst,NL:Q:32002508,0,4.36071909051003,52.09652487987,92,1,20
HLT2635,6,1,REI-D104,14,Theresiastraat 162,NL:Q:32002635,0,4.33584919834467,52.085735494864,93,1,20
HLT2636,1,1,REI-D104,15,Theresiastraat 162,NL:Q:32002636,0,4.33575583046536,52.0855605236657,94,1,20
HLT2637,21,1,REI-D104,16,Laan van Nieuw Oost Indië 44A,NL:Q:32002637,0,4.33684134900341,52.0865157166829,95,1,20
HLT2639,7,1,REI-D104,17,Theresiastraat 284,NL:Q:32002639,0,4.3395330165364,52.0872884352986,96,1,20
HLT2640,5,1,REI-D104,18,Theresiastraat 356-312,NL:Q:32002640,0,4.34053603045142,52.0878914018656,97,0,10
HLT2641,4,1,REI-D104,19,De Eerensplein 10,NL:Q:32002641,0,4.344221098045,52.0893228656168,98,0,10
HLT2642,8,1,REI-D104,20,De Eerensplein 29,NL:Q:32002642,0,4.34439808585869,52.089182696308,99,1,20
HLT2649,20,1,REI-D104,21,Laan van Nieuw Oost Indië 142,NL:Q:32002649,0,4.33931637114307,52.0843828889647,100,1,20
HLT2857,13,1,REI-D105,1,Schedeldoekshaven 60,NL:Q:32002857,0,4.3181708455341,52.0762761181492,101,1,20
HLT2858,14,1,REI-D105,2,Ammunitiehaven 191,NL:Q:32002858,0,4.320234,52.077117,102,0,10
HLT2873,12,1,REI-D105,3,Lange voorhout 1A,NL:Q:32002873,0,4.30955207869815,52.0813797306583,103,1,20
HLT2874,11,1,REI-D105,4,Kneuterdijk 24,NL:Q:32002874,0,4.30896562829692,52.0813951847169,104,1,20
HLT3807,19,1,REI-D105,5,Slachthuislaan 20,NL:Q:32003807,0,4.31843417672131,52.0611665389729,105,1,20
HLT3808,20,1,REI-D105,6,Slachthuislaan 25,NL:Q:32003808,0,4.31835416602612,52.0610015648897,106,1,20
HLT3819,18,1,REI-D105,7,de Genesteltlaan 122,NL:Q:32003819,0,4.32137820675742,52.0587886410883,107,1,20
HLT3820,15,1,REI-D105,8,de Genesteltlaan 122,NL:Q:32003820,0,4.32176434430744,52.0580731595153,108,1,20
HLT3833,16,1,REI-D105,9,Jan van Beersstraat 1-23,NL:Q:32003833,0,4.32339259232234,52.0557150313279,109,0,10
HLT3834,17,1,REI-D105,10,Jan van Beersstraat 1-23,NL:Q:32003834,0,4.32384185127498,52.0557310434146,110,1,20
HLT3843,2,1,REI-D105,11,Neherkade 3140,NL:Q:32003843,0,4.31227534198531,52.0580301651399,111,1,20
HLT3844,1,1,REI-D105,12,Neherkade 3140,NL:Q:32003844,0,4.3120325933739,52.0582038775979,112,0,10
HLT3847,7,4,REI-D105,13,Waldorptraat 111,NL:Q:32003847,0,4.3226077914308,52.068526848567,113,1,65
HLT3857,4,1,REI-D105,14,Waldorptraat 274,NL:Q:32003857,0,4.31534220608393,52.0650114218305,114,1,20
HLT3858,3,1,REI-D105,15,Megastores 214,NL:Q:32003858,0,4.31476386024955,52.0647737440185,115,1,20
HLT3859,6,1,REI-D105,16,Waldorptraat 162,NL:Q:32003859,0,4.31862063254475,52.0667390942887,116,1,20
HLT3860,5,1,REI-D105,17,Waldorptraat 45,NL:Q:32003860,0,4.31860823810236,52.0669240153178,117,0,10
HLS0158,7,1,REI-D106,1,Juliana van Stoberglaan 20,NL:Q:42014102,0,4.331895,52.081878,118,1,20
HLT0404,19,1,REI-D106,2,van Alkemadelaan 289,NL:Q:32000404,0,4.31796413410107,52.1035931062374,119,1,20
HLT0405,21,1,REI-D106,3,Waalsdorperweg 235,NL:Q:32000405,0,4.319108,52.104729,120,1,20
HLT0406,20,1,REI-D106,4,Waalsdorperweg 189,NL:Q:32000406,0,4.317923,52.104215,121,0,10
HLT0407,24,1,REI-D106,5,Else Mauhslaan 2,NL:Q:32000407,0,4.323516,52.105956,122,1,20
HLT0408,22,1,REI-D106,6,Theo Mann Bouwmeesterlaan 1,NL:Q:32000408,0,4.323166,52.105359,123,0,10
HLT0409,23,1,REI-D106,7,Theo Mann Bouwmeesterlaan 62,NL:Q:32000409,0,4.325369,52.105388,124,1,20
HLT0410,25,1,REI-D106,8,Oude Waaldorperweg/van der Aastraat,NL:Q:32000410,0,4.318902,52.105159,125,0,10
HLT0416,18,1,REI-D106,9,van Alkemadelaan 131,NL:Q:32000416,0,4.32193029175675,52.1001790236594,126,1,20
HLT0426,13,1,REI-D106,10,Wassenaarseweg,NL:Q:32000426,0,4.31957823867838,52.0924967656612,127,1,20
HLT0427,12,1,REI-D106,11,Jozef Israelplein 36,NL:Q:32000427,0,4.3195205259337,52.0921868243557,128,0,10
HLT0428,14,1,REI-D106,12,Wassenaarseweg 89,NL:Q:32000428,0,4.323095,52.093601,129,0,10
HLT0429,15,1,REI-D106,13,Wassenaarseweg105,NL:Q:32000429,0,4.324033,52.094068,130,1,20
HLT0431,17,1,REI-D106,14,van Alkemadelaan 220,NL:Q:32000431,0,4.326403,52.096265,131,1,20
