,OBJECTID,ID_MAXIMO,AREACODE,HALTENAAM,NLQNR,INSTAP_PWD_NOV_ALLE_PERRONS_19,MAX_INSTAP_PWD_DRUKSTE_UUR_19,MAX_INSTAP_PWD_24,MAAND_MAX_PWD_24,MAX_INSTAP_PWD_DRUKSTE_UUR_24,MAX_INSTAP_PER_UUR_24,UUR_MAX_24,MAAND_UUR_MAX_PWD_24,INSTAP_PWD_REF_MAAND,LIJNEN,BASIS,PLUS,TOP_,CATEGORIE,CODE_CATEGORIE,CODE_OVERSTAP,CODE_RECREATIE,CODE_WIJK,CODE_SEIZOEN,CODE_VISUALISATIE,CRITERIUM_OVERSTAP,CRITERIUM_RECREATIE,CRITERIUM_WIJK,CRITERIUM_SEIZOEN,AANTAL_INWONERS,INSTAPPERS,INST_INW,latitude,longitude
239,434,HLT1403,1403,Muurbloemweg,NL:Q:32001403,67.0,17.0,628,1722470400000,127,16,16,1722470400000,54.0,23-24,3.0,,,3.0,3,0,0,0,0,30000,,,,,1476.0,17.714286,0.012,52.0681388537322,4.23218187382161
240,435,HLT1407,1407,de Savornin Lohmanlaan,NL:Q:32001407,117.0,25.0,21,1717200000000,10,14,14,1722470400000,6.0,24,3.0,,,3.0,3,0,0,0,0,30000,,,,,1903.0,26.142857,0.0137,52.0714606817941,4.24045548312157
241,436,HLT1415,1415,Muurbloemweg,NL:Q:32001415,373.0,81.0,45,1727740800000,15,15,15,1727740800000,293.0,3,3.0,,,3.0,3,0,0,0,0,30000,,,,,3562.0,99.047619,0.0278,52.0638378135759,4.23448954184176
242,437,HLT1419,1419,De Savornin Lohmanplein,NL:Q:32001419,1244.0,175.0,1162,1733011200000,156,8,8,1730419200000,1185.0,1934-03-01 00:00:00,,2.0,,2.0,2,0,0,1,0,20010,,,Aan fietsroute,,3882.0,230.761905,0.0594,52.0672991695512,4.24618517285835
243,438,HLT1423,1421,Hoefbladlaan,NL:Q:32001423,441.0,78.0,82,1730419200000,32,12,12,1722470400000,421.0,3,3.0,,,3.0,3,0,0,0,0,30000,,,,,4613.0,96.0,0.0208,52.0652818726605,4.23941253233791
244,439,HLT1428,1419,De Savornin Lohmanplein,NL:Q:32001428,1244.0,175.0,10,1704067200000,7,15,15,1704067200000,1185.0,34,,2.0,,2.0,2,0,0,1,0,20010,,,Aan fietsroute,,3882.0,230.761905,0.0594,52.0678802003115,4.24575758939678
245,440,HLT1508,1508,Kijkduinsestraat,NL:Q:32001508,220.0,70.0,128,1719792000000,42,21,21,1719792000000,151.0,23-24-26,3.0,,,3.0,3,0,0,0,0,30000,,,,,1482.0,22.428571,0.0151,52.0668077938643,4.22357280945134
246,441,HLT1602,1601,Kraayensteinlaan,NL:Q:32001602,613.0,107.0,553,1709251200000,76,7,7,1704067200000,582.0,2,3.0,,,3.0,3,0,0,0,0,30000,,,,,4781.0,163.142857,0.0341,52.0490084966219,4.2368439821042
247,442,HLT1708,1707,Loosduinse Hoofdstraat,NL:Q:32001708,365.0,75.0,379,1733011200000,59,8,8,1711929600000,329.0,2025-04-02 00:00:00,3.0,,,3.0,3,0,0,0,0,30000,,,,,5617.0,89.190476,0.0159,52.0540831731226,4.23928416700908
248,443,HLT1712,1711,Kapelaan Meereboerweg,NL:Q:32001712,329.0,99.0,391,1733011200000,84,8,8,1711929600000,333.0,2025-04-02 00:00:00,3.0,,,3.0,3,0,0,0,0,30000,,,,,4976.0,96.714286,0.0194,52.050754794459,4.23838392748088
249,444,HLT1718,1717,Dedemsvaartweg,NL:Q:32001718,240.0,25.0,190,1711929600000,43,13,13,1722470400000,206.0,21-26,3.0,,,3.0,3,0,0,0,0,30000,,,,,2312.0,36.47619,0.0158,52.0545174488491,4.25740910117965
250,445,HLT1802,1801,Heliotrooplaan,NL:Q:32001802,399.0,61.0,840,1722470400000,251,16,16,1722470400000,405.0,3,3.0,,,3.0,3,0,0,0,0,30000,,,,,3316.0,62.047619,0.0187,52.0627787434137,4.23126174059838
251,446,HLT1809,1808,Groen van Prinstererlaan,NL:Q:32001809,379.0,100.0,150,1730419200000,45,15,15,1727740800000,185.0,21,3.0,,,3.0,3,0,0,0,0,30000,,,,,2777.0,27.428571,0.0099,52.0612914415407,4.24703740239513
252,447,HLT1813,1812,Mozartlaan,NL:Q:32001813,483.0,65.0,437,1730419200000,60,14,14,1711929600000,391.0,3,3.0,,,3.0,3,0,0,0,0,30000,,,,,4970.0,76.285714,0.0153,52.0607189551488,4.23176702229733
253,448,HLT1821,1820,Arnold Spoelplein,NL:Q:32001821,329.0,73.0,322,1727740800000,62,8,8,1725148800000,292.0,26,3.0,,,3.0,3,0,0,1,0,30010,,,Supermarkt + bibliotheek <200m,,5965.0,67.52381,0.0113,52.0542678637796,4.23389974883629
254,449,HLT1825,1824,Buitentuinen,NL:Q:32001825,207.0,41.0,235,1711929600000,35,8,8,1709251200000,182.0,26,3.0,,,3.0,3,0,0,0,0,30000,,,,,5604.0,55.428571,0.0099,52.0565327580841,4.24605639344988
255,450,HLT1835,1834,Pisuissestraat,NL:Q:32001835,183.0,31.0,258,1704067200000,69,14,14,1733011200000,213.0,26,3.0,,,3.0,3,0,0,0,0,30000,,,,,3400.0,21.095238,0.0062,52.0570660144044,4.22786206254449
256,451,HLT1904,1903,Appelstraat,NL:Q:32001904,574.0,124.0,160,1725148800000,77,8,8,1709251200000,543.0,1934-03-01 00:00:00,3.0,,,3.0,3,0,0,0,0,30000,,,,,5364.0,144.857143,0.027,52.0693231394355,4.25126629398199
257,452,HLT1912,1911,Appelstraat,NL:Q:32001912,139.0,29.0,268,1704067200000,86,15,15,1730419200000,206.0,21-23,3.0,,,3.0,3,0,0,0,0,30000,,,,,5649.0,22.142857,0.0039,52.0641477905831,4.25421544289492
