ID_MAXIMO;Dova_code; longitude;latitude;
HLS0347;NL:Q:42075802;4.374.078;51.999.193;
HLS0355;NL:Q:42076501;4.380.148;51.991.551;
HLS0356;NL:Q:42076502;4.380.181;51.991.353;
HLS0357;NL:Q:42076601;4.381.908;51.989.013;
HLS0358;NL:Q:42076602;4.382.124;51.988.485;
HLS0386;NL:Q:42076701;4.320.165;52.002.950;
HLS0385;NL:Q:42076702;4.319.833;52.002.804;
HLS0360;NL:Q:54000470;4.321.719;52.088.295;
HLS0362;NL:Q:54000670;4.331.293;52.092.507;
HLS0363;NL:Q:54000680;4.329.667;52.092.160;
HLS0364;NL:Q:54000730;4.334.929;52.094.274;
HLS0365;NL:Q:54140330;4.358.149;52.105.005;
HLS0366;NL:Q:54142010;4.335.599;52.094.361;
HLS0367;NL:Q:54142030;4.347.509;52.099.320;
HLS0368;NL:Q:54142040;4.346.273;52.099.103;
HLS0377;NL:Q:54162180;4.336.646;52.014.964;
HLC0472;NL:Q:54260190;4.352.599;52.009.262;
HLC0473;NL:Q:54260200;4.354.966;52.009.571;
HLS0384;NL:Q:54266290;4.322.805;51.996.646;
HLS0383;NL:Q:54266300;4.322.902;51.996.863;
HLS0422;NL:Q:54290170;4.179.956;52.028.895;
HLS0423;NL:Q:54290180;4.180.755;52.028.427;
