,PO: REI3D101,Unnamed: 1,Route: REI-D101,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
73,16,,HLS0129,BEHEER,"Halte, NL:Q:42010902 Carel Reinierszkade",Bezuidenhoutseweg 335,REI-0023,,,,
74,17,,HLS0183,BEHEER,"Halte, NL:Q:42017002 Laan van Nieuw Oost-Indie",Bezuidenhoutseweg 150,REI-0023,,,,
75,18,,HLS0125,BEHEER,"Halte, NL:Q:42009902 Boslaan",Bezuidenhoutseweg 30,REI-0023,,,,
76,19,,HLS0362,BEHEER,"Halte, NL:Q:54000670 Willem Witsenplein",Benoordenhoutseweg/Willem Witsenplein,REI-0023,,,,
77,20,,HLS0366,BEHEER,"Halte, NL:Q:54142010 Laan Van Clingendael",Benoordenhoutseweg,REI-0023,,,,
78,21,,HLS0367,BEHEER,"Halte, NL:Q:54142030 Louman Museum",Benoordenhoutseweg/Leidsestraatweg,REI-0023,,,,
79,22,,HLS0365,BEHEER,"Halte, NL:Q:54140330 Den Haag Viaduct",Benoordenhoutseweg/Viaduct N14,REI-0023,,,,
80,23,,HLS0368,BEHEER,"Halte, NL:Q:54142040 Louman Museum",Benoordenhoutseweg/Waaldorperlaan,REI-0023,,,,
81,24,,HLS0364,BEHEER,"Halte, NL:Q:54000730 Laan van Clingendael",Benoordenhoutseweg 254,REI-0023,,,,
82,25,,HLS0363,BEHEER,"Halte, NL:Q:54000680 Willem Witsenplein",Benoordenhoutseweg 227,REI-0023,,,,
83,26,,HLS0124,BEHEER,"Halte, NL:Q:42009901 Boslaan",Bezuidenhoutseweg 30,REI-0023,,,,
84,27,,HLS0182,BEHEER,"Halte, NL:Q:42017001 Laan van Nieuw Oost-Indie",Bezuidenhoutseweg 225,REI-0023,,,,
85,28,,HLS0128,BEHEER,"Halte, NL:Q:42010901 Carel Reinierszkade",Bezuidenhoutseweg 379,REI-0023,,,,
86,29,,HLS0204,BEHEER,"Halte, NL:Q:42018501 Reigersbergenweg",Bezuidenhoutseweg/Reigersbergenweg,REI-0023,,,,
87,30,,HLS0151,BEHEER,"Halte, NL:Q:42013301 Hofzichtlaan",Bezuidenhoutseweg 429,REI-0023,,,,
88,,,,,,,,,,,
89,PO: REI3D104,,Route: REI-D104,,,,,,,,
90,Volgorde,Locatie,Activum,Activum status,Beschrijving activum/locatie,Beschrijving,Taakplan,Inspectieformulier,Naam,,
91,1,,HLT2636,BEHEER,"Halte, NL:Q:32002636 Laan van Nieuw Oost Indië",Theresiastraat 162,REI-0023,,,,aanpast in volgorde naar plek 1
92,2,,HLT2504,BEHEER,"Halte, NL:Q:32002504 Reigersbergenweg",Vlaskamp 520,REI-0023,,,,
93,3,,HLT2502,BEHEER,"Halte, NL:Q:32002502 Overbosch",Vlaskamp/Haverkamp,REI-0023,,,,
94,4,,HLT2641,BEHEER,"Halte, NL:Q:32002641 De Eerensplein",De Eerensplein 10,REI-0023,,,,
95,5,,HLT2640,BEHEER,"Halte, NL:Q:32002640 Spaarwaterstraat",Theresiastraat 356-312,REI-0023,,,,
96,6,,HLT2635,BEHEER,"Halte, NL:Q:32002635 Laan van Nieuw Oost Indië",Theresiastraat 162,REI-0023,,,,
97,7,,HLT2639,BEHEER,"Halte, NL:Q:32002639 Spaarwaterstraat",Theresiastraat 284,REI-0023,,,,
98,8,,HLT2642,BEHEER,"Halte, NL:Q:32002642 De Eerensplein",De Eerensplein 29,REI-0023,,,,
99,9,,HLT2501,BEHEER,"Halte, NL:Q:32002501 Overbosch",Vlaskamp/Haverkamp,REI-0023,,,,
100,10,,HLT2503,BEHEER,"Halte, NL:Q:32002503 Reigersbergenweg",Diamanthorst 43,REI-0023,,,,
101,11,,HLT2506,BEHEER,"Halte, NL:Q:32002506 Barnsteenhorst",Diamanthorst 187,REI-0023,,,,
102,12,,HLT2505,BEHEER,"Halte, NL:Q:32002505 Barnsteenhorst",Diamanthorst 187,REI-0023,,,,
103,13,,HLT2507,BEHEER,"Halte, NL:Q:32002507 Saffierhorst",Diamanthorst/Komalijnhorst,REI-0023,,,,
104,14,,HLT2508,BEHEER,"Halte, NL:Q:32002508 Saffierhorst",Diamanthorst/Komalijnhorst,REI-0023,,,,
105,15,,HLS0157,BEHEER,"Halte, NL:Q:42014101 Juliana van Stolberglaan",Prinses Beatrixlaan 3,REI-0023,,,,Verplaatst van D105 naar D104
106,16,,HLS0316,BEHEER,"Halte, NL:Q:42067702 Prinses Marijkestraat",Prinses Beatrixlaan 15,REI-0023,,,,Verplaatst van D105 naar D104
107,17,,HLS0147,BEHEER,"Halte, NL:Q:42013101 Haagse Poort",Prinses Beatrixlaan 31,REI-0023,,,,Verplaatst van D105 naar D104
108,18,,HLS0148,BEHEER,"Halte, NL:Q:42013102 Haagse Poort",Prinses Beatrixlaan 800,REI-0023,,,,Verplaatst van D105 naar D104
109,19,,HLS0315,BEHEER,"Halte, NL:Q:42067701 Prinses Marijkestraat",Prinses Beatrixlaan 400,REI-0023,,,,Verplaatst van D105 naar D104
110,20,,HLT2649,BEHEER,"Halte, NL:Q:32002649 Juliana van Stolberglaan",Laan van Nieuw Oost Indië 142,REI-0023,,,,Verplaatst van D105 naar D104
111,21,,HLT2637,BEHEER,"Halte, NL:Q:32002637 Theresiastraat",Laan van Nieuw Oost Indië 44A,REI-0023,,,,Verplaatst van D105 naar D104
112,,,,,,,,,,,
113,PO: REI3D105,,Route: REI-D105,,,,,,,,
114,Volgorde,Locatie,Activum,Activum status,Beschrijving activum/locatie,Beschrijving,Taakplan,Inspectieformulier,Naam,,
115,1,,HLT3844,BEHEER,"Halte, NL:Q:32003844 Stieltjesstraat",Neherkade 3140,REI-0023,,,,
116,2,,HLT3843,BEHEER,"Halte, NL:Q:32003843 Stieltjesstraat",Neherkade 3140,REI-0023,,,,
117,3,,HLT3858,BEHEER,"Halte, NL:Q:32003858 Megastores",Megastores 214,REI-0023,,,,
118,4,,HLT3857,BEHEER,"Halte, NL:Q:32003857 Megastores",Waldorptraat 274,REI-0023,,,,
119,5,,HLT3860,BEHEER,"Halte, NL:Q:32003860 Megastores hoofdingang",Waldorptraat 45,REI-0023,,,,
120,6,,HLT3859,BEHEER,"Halte, NL:Q:32003859 Megastores hoofdingang",Waldorptraat 162,REI-0023,,,,
121,7,,HLT3847,BEHEER,"Halte, NL:Q:32003847 Station Hollands Spoor",Waldorptraat 111,REI-0023,,,,
122,8,,HLT3847,BEHEER,"Halte, NL:Q:32003847 Station Hollands Spoor",Waldorptraat 111,REI-0023,,,,
123,9,,HLT3847,BEHEER,"Halte, NL:Q:32003847 Station Hollands Spoor",Waldorptraat 111,REI-0023,,,,
124,10,,HLT3847,BEHEER,"Halte, NL:Q:32003847 Station Hollands Spoor",Waldorptraat 111,REI-0023,,,,
125,11,,HLT2874,BEHEER,"Halte, NL:Q:32002874 Kneuterdijk",Kneuterdijk 24,REI-0023,,,,Afgesproken dat we het zo laten
126,12,,HLT2873,BEHEER,"Halte, NL:Q:32002873 Kneuterdijk",Lange voorhout 1A,REI-0023,,,,Afgesproken dat we het zo laten
127,13,,HLT2857,BEHEER,"Halte, NL:Q:32002857 Nieuwe Haven",Schedeldoekshaven 60,REI-0023,,,,Afgesproken dat we het zo laten
128,14,,HLT2858,BEHEER,"Halte, NL:Q:32002858 Nieuwe Haven",Ammunitiehaven 191,REI-0023,,,,Afgesproken dat we het zo laten
129,15,,HLT3820,BEHEER,"Halte, NL:Q:32003820 Jonckbloetplein",de Genesteltlaan 122,REI-0023,,,,Verplaatst van D104 naar D105
130,16,,HLT3833,BEHEER,"Halte, NL:Q:32003833 Jan van Beersstraat",Jan van Beersstraat 1-23,REI-0023,,,,Verplaatst van D104 naar D105
131,17,,HLT3834,BEHEER,"Halte, NL:Q:32003834 Jan van Beersstraat",Jan van Beersstraat 1-23,REI-0023,,,,Verplaatst van D104 naar D105
132,18,,HLT3819,BEHEER,"Halte, NL:Q:32003819 Jonckbloetplein",de Genesteltlaan 122,REI-0023,,,,Verplaatst van D104 naar D105
133,19,,HLT3807,BEHEER,"Halte, NL:Q:32003807 Neherkade",Slachthuislaan 20,REI-0023,,,,Verplaatst van D104 naar D105
134,20,,HLT3808,BEHEER,"Halte, NL:Q:32003808 Neherkade",Slachthuislaan 25,REI-0023,,,,Verplaatst van D104 naar D105
135,,,,,,,,,,,
136,PO: REI3D106,,Route: REI-D106,,,,,,,,
137,Volgorde,Locatie,Activum,Activum status,Beschrijving activum/locatie,Beschrijving,Taakplan,Inspectieformulier,Naam,,
138,1,,HLT2633,BEHEER,"Halte, NL:Q:32002633 Koningin Marialaan",Theresiastraat 34,REI-0023,,,,
139,2,,HLT2634,BEHEER,"Halte, NL:Q:32002634 Koningin Marialaan",Theresiastraat 34,REI-0023,,,,
140,3,,HLT2631,BEHEER,"Halte, NL:Q:32002631 Prins Clauslaan",Theresiastraat 2,REI-0023,,,,
141,4,,HLT2632,BEHEER,"Halte, NL:Q:32002632 Prins Clauslaan",Theresiastraat 12D,REI-0023,,,,
142,5,,HLT2638,BEHEER,"Halte, NL:Q:32002638 Theresiastraat",Laan van Nieuw Oost Indië 121,REI-0023,,,,
143,6,,HLT2650,BEHEER,"Halte, NL:Q:32002650 Juliana van Stolberglaan",Laan van Nieuw Oost Indië 145,REI-0023,,,,
144,7,,HLS0158,BEHEER,"Halte, NL:Q:42014102 Juliana van Stolberglaan",Juliana van Stoberglaan 20,REI-0023,,,,
145,8,,HLT0447,BEHEER,"Halte, NL:Q:32000447 Wassenaarseweg",Oostduinlaan 40,REI-0023,,,,
146,9,,HLT0448,BEHEER,"Halte, NL:Q:32000448 Wassenaarseweg",Oostduinlaan 40,REI-0023,,,,
147,10,,HLT0436,BEHEER,"Halte, NL:Q:32000436 Weissenbruchstraat",Jan van Nassaustraat 62,REI-0023,,,,
148,11,,HLT0437,BEHEER,"Halte, NL:Q:32000437 Weissenbruchstraat",Jozef Israellaan 37,REI-0023,,,,
149,12,,HLT0427,BEHEER,"Halte, NL:Q:32000427 Jozef Israëlsplein",Jozef Israelplein 36,REI-0023,,,,
150,13,,HLT0426,BEHEER,"Halte, NL:Q:32000426 Jozef Israëlsplein",Wassenaarseweg,REI-0023,,,,
151,14,,HLT0428,BEHEER,"Halte, NL:Q:32000428 Van Hoytemastraat",Wassenaarseweg 89,REI-0023,,,,
